url,error
http://www.centralmaine.com/2026/01/27/lawyers-say-it-is-harder-for-mainers-arrested-by-ice-to-get-bond-hearings/,"HTTPConnectionPool(host='www.centralmaine.com', port=80): Max retries exceeded with url: /2026/01/27/lawyers-say-it-is-harder-for-mainers-arrested-by-ice-to-get-bond-hearings/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbda9c0>: Failed to resolve 'www.centralmaine.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.centralmaine.com/2026/03/01/waterville-projects-on-course-to-add-more-than-350-apartments/,"HTTPConnectionPool(host='www.centralmaine.com', port=80): Max retries exceeded with url: /2026/03/01/waterville-projects-on-course-to-add-more-than-350-apartments/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbd89e0>: Failed to resolve 'www.centralmaine.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.centralmaine.com/2025/10/20/new-northern-light-health-president-takes-the-helm/,"HTTPConnectionPool(host='www.centralmaine.com', port=80): Max retries exceeded with url: /2025/10/20/new-northern-light-health-president-takes-the-helm/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x152dcc050>: Failed to resolve 'www.centralmaine.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.sunjournal.com/2025/09/23/whos-responsible-for-maintaining-the-road-to-tumbledown-mountain/,"HTTPConnectionPool(host='www.sunjournal.com', port=80): Max retries exceeded with url: /2025/09/23/whos-responsible-for-maintaining-the-road-to-tumbledown-mountain/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbd89e0>: Failed to resolve 'www.sunjournal.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.pressherald.com/2026/02/18/maine-authorities-assist-in-investigation-into-deadly-shootings-at-ri-hockey-rink/,"HTTPConnectionPool(host='www.pressherald.com', port=80): Max retries exceeded with url: /2026/02/18/maine-authorities-assist-in-investigation-into-deadly-shootings-at-ri-hockey-rink/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbda9c0>: Failed to resolve 'www.pressherald.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.pressherald.com/2025/10/25/hearts-of-pine-end-regular-season-with-a-tie/,"HTTPConnectionPool(host='www.pressherald.com', port=80): Max retries exceeded with url: /2025/10/25/hearts-of-pine-end-regular-season-with-a-tie/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbda030>: Failed to resolve 'www.pressherald.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.pressherald.com/2025/12/19/mainers-are-crying-out-for-tax-reform-will-our-legislators-listen-opinion/,"HTTPConnectionPool(host='www.pressherald.com', port=80): Max retries exceeded with url: /2025/12/19/mainers-are-crying-out-for-tax-reform-will-our-legislators-listen-opinion/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbd9ae0>: Failed to resolve 'www.pressherald.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.pressherald.com/2025/11/05/brunswick-elects-three-new-town-councilors/,"HTTPConnectionPool(host='www.pressherald.com', port=80): Max retries exceeded with url: /2025/11/05/brunswick-elects-three-new-town-councilors/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbda8b0>: Failed to resolve 'www.pressherald.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.sunjournal.com/2026/01/01/deadly-sabattus-shooting-hells-angels-option-in-buckfield-among-top-local-stories-of-2025/,"HTTPConnectionPool(host='www.sunjournal.com', port=80): Max retries exceeded with url: /2026/01/01/deadly-sabattus-shooting-hells-angels-option-in-buckfield-among-top-local-stories-of-2025/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbdb130>: Failed to resolve 'www.sunjournal.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.centralmaine.com/2025/09/16/six-tenants-displaced-when-fire-damages-augusta-apartment-building/,"HTTPConnectionPool(host='www.centralmaine.com', port=80): Max retries exceeded with url: /2025/09/16/six-tenants-displaced-when-fire-damages-augusta-apartment-building/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbdb020>: Failed to resolve 'www.centralmaine.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.pressherald.com/2025/09/25/mills-announces-new-maine-life-sciences-center/,"HTTPConnectionPool(host='www.pressherald.com', port=80): Max retries exceeded with url: /2025/09/25/mills-announces-new-maine-life-sciences-center/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbda7a0>: Failed to resolve 'www.pressherald.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.pressherald.com/2025/10/01/south-portland-teachers-started-the-school-year-without-a-contract/,"HTTPConnectionPool(host='www.pressherald.com', port=80): Max retries exceeded with url: /2025/10/01/south-portland-teachers-started-the-school-year-without-a-contract/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbd8050>: Failed to resolve 'www.pressherald.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.centralmaine.com/2026/02/12/in-person-dating-events-are-having-a-moment-in-maine-column/,"HTTPConnectionPool(host='www.centralmaine.com', port=80): Max retries exceeded with url: /2026/02/12/in-person-dating-events-are-having-a-moment-in-maine-column/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbdb570>: Failed to resolve 'www.centralmaine.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.pressherald.com/2025/12/17/are-there-any-unionized-retail-grocery-store-workers-in-maine-fact-brief/,"HTTPConnectionPool(host='www.pressherald.com', port=80): Max retries exceeded with url: /2025/12/17/are-there-any-unionized-retail-grocery-store-workers-in-maine-fact-brief/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbda140>: Failed to resolve 'www.pressherald.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.pressherald.com/2025/12/29/meet-the-2025-varsity-maine-all-state-volleyball-team/,"HTTPConnectionPool(host='www.pressherald.com', port=80): Max retries exceeded with url: /2025/12/29/meet-the-2025-varsity-maine-all-state-volleyball-team/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbd9040>: Failed to resolve 'www.pressherald.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.centralmaine.com/2025/11/11/augusta-credit-union-clerk-foils-new-jersey-womans-forgery-attempt/,"HTTPConnectionPool(host='www.centralmaine.com', port=80): Max retries exceeded with url: /2025/11/11/augusta-credit-union-clerk-foils-new-jersey-womans-forgery-attempt/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12fbd9370>: Failed to resolve 'www.centralmaine.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.sunjournal.com/2025/09/19/police-investigate-shooting-in-lewiston-2/,"HTTPConnectionPool(host='www.sunjournal.com', port=80): Max retries exceeded with url: /2025/09/19/police-investigate-shooting-in-lewiston-2/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12f89fdf0>: Failed to resolve 'www.sunjournal.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.pressherald.com/2025/12/11/meet-25-southern-maine-wrestlers-to-watch-in-2025-26/,"HTTPConnectionPool(host='www.pressherald.com', port=80): Max retries exceeded with url: /2025/12/11/meet-25-southern-maine-wrestlers-to-watch-in-2025-26/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x152dcc270>: Failed to resolve 'www.pressherald.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.pressherald.com/2025/11/25/falmouth-land-trust-asks-town-to-pay-for-half-of-42-acre-property/,"HTTPConnectionPool(host='www.pressherald.com', port=80): Max retries exceeded with url: /2025/11/25/falmouth-land-trust-asks-town-to-pay-for-half-of-42-acre-property/ (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x12f89fdf0>: Failed to resolve 'www.pressherald.com' ([Errno 8] nodename nor servname provided, or not known)""))"
http://www.pressherald.com/2025/10/16/hearts-of-pine-are-a-hot-ticket-as-first-season-winds-down/,"HTTPSConnectionPool(host='www.pressherald.com', port=443): Read timed out. (read timeout=15)"
http://www.sunjournal.com/2025/09/18/oxford-hills-educators-threatened-over-social-media-posts/,404 Client Error: Not Found for url: https://www.sunjournal.com/2025/09/18/oxford-hills-educators-threatened-over-social-media-posts/
http://www.pressherald.com/2026/02/24/see-how-much-snow-fell-in-maine-during-mondays-blizzard/,No <p> text found.
http://www.pressherald.com/2026/02/11/maine-weather-map-shows-much-snow-fell-overnight/,No <p> text found.
http://www.sunjournal.com/2025/12/04/birds-eye-view-of-lewistons-museum-taking-shape/,No <p> text found.
http://www.pressherald.com/2026/01/01/sabattus-pond-draws-ice-fishing-thursday/,No <p> text found.
http://www.sunjournal.com/2026/03/04/propane-tank-left-open-at-norway-hospital/,No <p> text found.
http://www.centralmaine.com/2026/01/14/police-lapse-risks-confession-in-benton-murder-case/,404 Client Error: Not Found for url: https://www.centralmaine.com/2026/01/14/police-lapse-risks-confession-in-benton-murder-case/
http://www.pressherald.com/2026/02/25/man-arrested-after-crash-that-killed-dog-in-westbrook/,"HTTPConnectionPool(host='www.pressherald.com', port=80): Read timed out. (read timeout=15)"
http://www.sunjournal.com/2025/09/03/lewiston-mass-shooting-survivors-families-sue-feds-over-armys-failure-to-prevent-mass-shooting/,Exceeded 30 redirects.
http://www.sunjournal.com/2026/01/15/new-st-doms-in-lewiston-holds-an-open-house/,No <p> text found.
http://www.pressherald.com/2025/11/24/historical-photos-show-maine-thanksgivings-over-the-decades/,No <p> text found.
http://www.pressherald.com/2026/03/04/how-much-snow-fell-in-maine-overnight/,No <p> text found.
http://www.sunjournal.com/2025/10/06/lewiston-live-festival-fills-the-street/,No <p> text found.
http://www.sunjournal.com/2025/11/19/new-fire-station-for-lewiston/,No <p> text found.
http://www.sunjournal.com/2025/10/07/lewiston-childrens-center-is-expanding/,No <p> text found.
